Attribute number ,Brand,Model,Model Version,Year,Price (₹),Engine Capacity (cc),Power (hp),Torque (Nm),Top Speed (km/h),Fuel Type,Electric,Transmission Type,ABS,Fuel Tank Capacity (litres),Mileage (kmpl or km/charge),Weight (kg),Type,Country of Origin,Launch Year,Emission Standard,Wheel Type,Cooling Type,Braking System,Battery Capacity (kWh),Range per Charge (km),Charging Time (hours),Length (mm),Width (mm),Height (mm),Seat Height (mm),Seat Type,Wheelbase (mm),Max Power (bhp),Max Power (hp),Max Power (kW),Engine Displacement (cc),Engine Cylinders,Ignition System,Transmission,CO2 (g/km),Max Torque (Nm),Where Available,First Available Date/Release Date,Engine Compression Ratio,Acceleration 0-100 km/h (s),Top Speed (kmph),Storage,Warranty (y),Conclude Date
N129,Hero,Splendor,V2.7,2018,78242,,4.11,10.09,117,Electric,Yes,Automatic,No,,140,109,Scooter,Austria,2020,,Spoke,Liquid,Drum,1.69,147,3.1,—,2100,—,,Single,1402.5,—,—,2,—,—,—,Manual,—,55.83333333,TW,4/6/2021,—,23,—,Yes,41,999999999
D130,Royal Enfield,Classic,V2.9,2020,133970,,8,14.92,101,Electric,Yes,Automatic,Yes,,151,106,Commuter,Austria,2017,,Spoke,Air,Disc,2.34,61,5.9,—,2200,—,452,Single,1410,—,—,4.2,—,9.6,—,Manual,—,57.33333333,TW,4/7/2021,,25,—,No,43.5,999999999
O131,Royal Enfield,Classic,V2.2,2025,258821,,4.91,27.67,94,Electric,Yes,Automatic,No,,136,103,Commuter,China,2022,,Spoke,Air,Disc/Drum,2.37,136,5.2,—,2300,—,430,Single,1417.5,—,—,4.2,—,—,—,Manual,—,58.83333333,TW,4/8/2021,18:05,—,—,—,46,999999999
N132,KTM,Duke,V1.1,2022,247903,,7.64,15.82,64,Electric,Yes,Automatic,No,,113,104,Commuter,India,2021,,Alloy,Oil,Disc/Drum,1.96,175,5.6,—,2400,—,—,Single,1425,—,—,2,—,5.%11,—,Manual,—,60.33333333,TW,4/9/2021,36:78/+104,10/7:9,—,Underseat compartment,48.5,—
D133,TVS,Apache,V3.7,2024,158851,,6.65,24.73,77,Electric,Yes,Automatic,No,,160,97,Commuter,Japan,2019,,Spoke,Liquid,Disc/Drum,3.99,155,5.6,—,2500,—,,Single,1432.5,—,—,4.2,—,—,—,Manual,102,61.83333333,TW,—,6.254861111,—,—,Underseat compartment,—,—
O134,Royal Enfield,Classic,V3.4,2024,235479,,6.92,21.64,61,Electric,Yes,Automatic,Yes,,118,117,Adventure,India,2020,,Spoke,Oil,Disc,4.39,132,5.8,—,2600,—,408,Single,1440,—,—,4.2,—,—,—,Manual,—,63.33333333,TW,,—,,—,Yes,,100000003
N135,Ather,450X,V5.2,2020,96441,,9.72,15.19,87,Electric,Yes,Automatic,No,,131,109,Cruiser,Austria,2019,,Alloy,Oil,Disc,1.7,124,4.8,—,2700,—,386,Single,1447.5,—,—,2,—,100.&13,—,—,—,64.83333333,TW,—,,24,—,No,—,
D136,Ather,450X,V3.9,2020,161711,,9.2,17.4,90,Electric,Yes,Automatic,No,,85,122,Adventure,Austria,2025,,Alloy,Liquid,Disc/Drum,4.69,78,3.1,—,2800,—,—,Single,1455,—,—,1.266666667,—,—,—,,103,66.33333333,TW,,19:05,27,—,—,51,999999999
O137,Ola,S1,V1.5,2021,279494,,5.33,21.22,120,Electric,Yes,Automatic,Yes,,152,130,Adventure,China,2020,,Alloy,Air,Drum,1.9,146,3.1,—,2900,—,,Single,1462.5,—,—,0.166666667,—,10.6,—,—,-173,67.83333333,TW,4/10/2021,36:78/+105,29,—,Underseat compartment,53.5,999999999
N138,Suzuki,Gixxer,V4.9,2021,143804,,9.77,22.81,63,Electric,Yes,Automatic,Yes,,134,98,Commuter,Japan,2024,,Spoke,Air,Disc,1.59,143,6,—,3000,—,364,Single,1470,—,—,-0.933333333,—,—,—,Automatic,-201.5,69.33333333,TW,4/11/2021,7.254861111,—,—,Underseat compartment,56,999999999
D139,Ather,450X,V2.1,2022,247526,,3.52,18.97,81,Electric,Yes,Automatic,No,,172,99,Commuter,India,2018,,Alloy,Liquid,Drum,4.3,84,4.6,—,3100,—,342,Single,1477.5,—,—,-2.033333333,—,5.%12,—,Automatic,-230,70.83333333,TW,4/12/2021,—,10/7:10,—,Yes,58.5,—
O140,KTM,Duke,V5.4,2021,82451,194,22.46,13.22,96,Petrol,No,Automatic,Yes,8.6,32,189,Commuter,Austria,2024,Euro5,Alloy,Air,Disc/Drum,,,,—,3200,—,—,Double,1485,—,—,-3.133333333,—,—,—,Manual,—,72.33333333,TW,4/13/2021,,—,—,No,—,—
N141,Ather,450X,V4.8,2024,282987,,5.03,26.24,111,Electric,Yes,Automatic,Yes,,103,117,Adventure,Austria,2024,,Spoke,Air,Disc,2.82,161,6,—,3300,—,,double,1492.5,—,—,-4.233333333,—,—,—,Manual,—,73.83333333,TW,4/14/2021,20:05,,—,—,,100000004
D142,Suzuki,Gixxer,V2.6,2025,181067,541,19.47,46.76,140,Petrol,No,Automatic,No,14.2,40,158,Commuter,Japan,2022,Euro5,Spoke,Oil,Disc,,,,—,3400,—,320,—,1500,—,—,-5.333333333,—,100.&14,—,Manual,—,75.33333333,TW,4/15/2021,36:78/+106,25,—,Underseat compartment,—,
O143,Bajaj,Pulsar,V4.8,2024,260971,,8.02,26.79,75,Electric,Yes,Automatic,No,,103,107,Sport,Austria,2018,,Alloy,Liquid,Disc/Drum,3.85,139,5.6,—,3500,—,298,,1507.5,—,—,—,—,—,—,Manual,—,—,TW,—,8.254861111,31,—,Underseat compartment,61,999999999
N144,Yamaha,FZ,V4.1,2020,99888,,7.1,14.64,91,Electric,Yes,Automatic,Yes,,137,101,Adventure,Japan,2020,,Spoke,Oil,Drum,4.4,133,3.7,—,3600,—,—,Single,1515,—,—,—,—,11.6,—,Manual,—,—,TW,,—,33,—,Yes,63.5,999999999
D145,Royal Enfield,Classic,V4.8,2020,220322,104,28.88,8.35,148,Petrol,No,Manual,Yes,9.5,50,125,Adventure,Japan,2022,Euro5,Alloy,Oil,Drum,,,,—,3700,—,,Single,1522.5,—,—,—,—,—,—,Manual,103,—,TW,—,,—,—,No,66,999999999
O146,Ola,S1,V2.5,2019,63203,,8.06,16.9,89,Electric,Yes,Automatic,No,,174,100,Scooter,China,2022,,Alloy,Air,Disc,3.46,89,5.9,—,3800,—,276,Double,1530,—,—,—,—,5.%13,—,Manual,—,—,TW,,21:05,10/7:11,—,—,68.5,—
N147,Yamaha,FZ,V5.0,2025,94550,334,29.97,9.29,101,Petrol,No,Manual,Yes,12.2,49,161,Adventure,Austria,2022,Euro5,Spoke,Air,Drum,,,,—,3900,—,254,double,1537.5,—,—,—,—,—,—,Manual,—,—,TW,4/16/2021,36:78/+107,—,—,Underseat compartment,—,—
D148,TVS,Apache,V3.7,2018,180670,,6.08,22.47,109,Electric,Yes,Automatic,Yes,,70,103,Cruiser,Austria,2025,,Spoke,Liquid,Disc,3.07,156,4.6,—,4000,—,—,—,1545,—,—,—,—,—,—,Manual,104,—,TW,4/17/2021,9.254861111,,—,Underseat compartment,,100000005
O149,Ola,S1,V3.0,2025,276824,,8.18,28.64,73,Electric,Yes,Automatic,No,,81,129,Adventure,Japan,2022,,Spoke,Air,Drum,3.43,169,3.3,—,4100,—,,,—,—,—,—,—,100.&15,—,Manual,-258.5,—,TW,4/18/2021,—,26,—,Yes,—,
N150,KTM,Duke,V3.5,2020,200608,,6.17,27.17,111,Electric,Yes,Automatic,Yes,,129,104,Cruiser,Austria,2017,,Alloy,Liquid,Drum,2.18,84,5.3,—,4200,—,232,Single,—,—,—,—,—,—,—,Manual,-287,—,TW,4/19/2021,,35,—,No,71,999999999
D151,Royal Enfield,Classic,V5.8,2019,108177,429,27.01,48.09,93,Petrol,No,Automatic,Yes,14,46,184,Scooter,Japan,2023,Euro5,Spoke,Air,Disc,,,,—,4300,—,210,Single,—,—,—,—,—,12.6,—,Manual,-315.5,—,TW,4/20/2021,22:05,37,—,—,73.5,999999999
O152,Suzuki,Gixxer,V2.6,2018,195048,,8.61,25.43,67,Electric,Yes,Automatic,No,,176,109,Adventure,Austria,2018,,Alloy,Liquid,Disc,2.77,170,3.4,—,4400,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,4/21/2021,36:78/+108,—,—,Underseat compartment,76,999999999
N153,Honda,Shine,V3.8,2019,281400,,8.39,29.59,103,Electric,Yes,Automatic,Yes,,108,98,Commuter,China,2016,,Spoke,Oil,Disc/Drum,3.64,97,3.1,—,4500,—,,double,—,—,—,—,—,5.%14,—,—,—,—,TW,—,10.25486111,10/7:12,—,Underseat compartment,78.5,—
D154,Ola,S1,V2.8,2024,192985,,9.65,14.58,116,Electric,Yes,Automatic,No,,172,129,Sport,Austria,2024,,Alloy,Liquid,Disc/Drum,4.9,161,4.5,—,4600,—,188,—,—,—,—,—,—,—,—,,—,—,TW,,—,—,—,Yes,—,—
O155,Royal Enfield,Classic,V1.0,2024,209680,282,44.43,54.48,111,Petrol,No,Manual,No,9.7,33,124,Commuter,Austria,2025,BS6,Alloy,Liquid,Disc,,,,—,4700,—,166,,—,—,—,—,—,—,—,—,—,—,TW,—,,,—,No,,100000006
N156,Honda,Shine,V1.6,2022,67651,294,30.41,9.18,119,Petrol,No,Automatic,No,13.9,44,164,Commuter,China,2017,BS6,Spoke,Oil,Disc/Drum,,,,—,4800,—,—,Single,—,—,—,—,—,100.&16,—,Automatic,—,—,TW,,23:05,27,—,—,—,
D157,Bajaj,Pulsar,V4.1,2021,71639,,7.18,15.48,101,Electric,Yes,Automatic,Yes,,97,113,Commuter,Austria,2019,,Alloy,Oil,Drum,4.14,138,4,—,4900,—,,Single,—,—,—,—,—,—,—,Automatic,104,—,TW,4/22/2021,36:78/+109,39,—,Underseat compartment,81,999999999
O158,Ather,450X,V4.7,2023,186402,,8.19,20.83,81,Electric,Yes,Automatic,No,,151,115,Sport,Japan,2024,,Spoke,Air,Disc,2.44,120,3.3,—,5000,—,144,Double,—,—,—,—,—,13.6,—,Manual,—,—,TW,4/23/2021,11.25486111,41,—,Underseat compartment,83.5,999999999
N159,Suzuki,Gixxer,V2.6,2024,284917,,5.9,20.83,102,Electric,Yes,Automatic,Yes,,68,95,Commuter,India,2016,,Spoke,Air,Disc,1.88,174,5.3,—,5100,—,122,double,—,—,—,—,—,—,—,Manual,—,—,TW,4/24/2021,—,—,—,Yes,86,999999999
D160,Suzuki,Gixxer,V5.3,2018,161417,,7.58,25.19,85,Electric,Yes,Automatic,No,,82,102,Adventure,Japan,2021,,Spoke,Air,Drum,4.2,147,4.5,—,5200,—,—,—,—,—,—,—,—,5.%15,—,Manual,105,—,TW,4/25/2021,,10/7:13,—,No,88.5,—
O161,Yamaha,FZ,V1.2,2022,241509,,7.61,29.97,107,Electric,Yes,Automatic,No,,108,122,Sport,Japan,2020,,Alloy,Oil,Drum,4.61,150,3,—,5300,—,,,—,—,—,—,—,—,—,Manual,-344,—,TW,4/26/2021,0:05,—,—,—,—,—
N162,Suzuki,Gixxer,V1.4,2018,184176,,3.89,18.18,92,Electric,Yes,Automatic,No,,126,106,Cruiser,India,2021,,Alloy,Liquid,Disc/Drum,3.77,63,5.8,—,5400,—,100,Single,—,—,—,—,—,—,—,Manual,-372.5,—,TW,4/27/2021,36:78/+110,,—,Underseat compartment,,100000007
D163,TVS,Apache,V2.8,2023,77077,,6.44,24.44,85,Electric,Yes,Automatic,Yes,,138,103,Commuter,India,2022,,Spoke,Oil,Drum,4.13,129,5.8,—,5500,—,78,Single,—,—,—,—,—,100.&17,—,Manual,-401,—,TW,—,12.25486111,28,—,Underseat compartment,—,
O164,Ola,S1,V2.1,2018,111990,,7.86,15.54,85,Electric,Yes,Automatic,No,,65,102,Commuter,Austria,2020,,Spoke,Air,Disc/Drum,2.72,146,5.8,—,5600,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,,—,43,—,Yes,91,999999999
N165,TVS,Apache,V1.0,2018,116345,425,34.43,33.43,134,Petrol,No,Automatic,Yes,13,54,182,Scooter,Austria,2017,BS6,Spoke,Oil,Drum,,,,—,5700,—,,double,—,—,—,—,—,14.6,—,Manual,—,—,TW,—,,45,—,No,93.5,999999999
D166,Ola,S1,V5.3,2020,50487,,3.55,26.83,118,Electric,Yes,Automatic,Yes,,165,122,Sport,India,2017,,Spoke,Air,Disc/Drum,4.64,98,3.6,—,5800,—,56,—,—,—,—,—,—,—,—,Manual,—,—,TW,,1:05,—,—,—,96,999999999
O167,TVS,Apache,V4.7,2020,121063,141,35.66,41.59,136,Petrol,No,Automatic,No,11.6,38,145,Commuter,China,2020,BS4,Spoke,Oil,Drum,,,,—,5900,—,34,,—,—,—,—,—,5.%16,—,Manual,—,—,TW,4/28/2021,36:78/+111,10/7:14,—,Underseat compartment,98.5,—
N168,TVS,Apache,V2.7,2019,287276,177,25.91,12.48,147,Petrol,No,Manual,Yes,14.4,48,206,Cruiser,India,2025,BS6,Alloy,Liquid,Disc/Drum,,,,—,6000,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,TW,4/29/2021,13.25486111,—,—,Underseat compartment,—,—
D169,Bajaj,Pulsar,V5.1,2025,107567,612,14.94,21.19,142,Petrol,No,Manual,Yes,11.2,41,180,Adventure,India,2017,BS4,Spoke,Oil,Drum,,,,—,6100,—,,Single,—,—,—,—,—,—,—,Manual,105,—,TW,4/30/2021,—,,—,Yes,,100000008
O170,KTM,Duke,V1.6,2022,119619,,8.84,29.57,64,Electric,Yes,Automatic,No,,74,114,Cruiser,India,2020,,Alloy,Oil,Drum,2.73,174,3.4,—,6200,—,12,Double,—,—,—,—,—,100.&18,—,Manual,—,—,TW,5/1/2021,,29,—,No,—,
N171,Suzuki,Gixxer,V4.9,2025,256241,,8.03,11.43,78,Electric,Yes,Automatic,Yes,,63,127,Cruiser,Austria,2023,,Alloy,Liquid,Disc,1.96,139,3.5,—,6300,—,-10,double,—,—,—,—,—,—,—,—,—,—,TW,5/2/2021,2:05,47,—,—,101,999999999
D172,TVS,Apache,V4.9,2020,199762,639,12.51,54.47,128,Petrol,No,Automatic,No,8.3,32,119,Adventure,India,2023,BS6,Alloy,Liquid,Disc/Drum,,,,—,6400,—,—,—,—,—,—,—,—,15.6,—,,106,—,TW,5/3/2021,36:78/+112,49,—,Underseat compartment,103.5,999999999
O173,Honda,Shine,V5.5,2020,77220,,9.55,24.52,108,Electric,Yes,Automatic,No,,78,97,Cruiser,Japan,2016,,Spoke,Air,Disc/Drum,1.87,61,5.8,—,6500,—,,,—,—,—,—,—,—,—,—,-429.5,—,TW,—,14.25486111,—,—,Underseat compartment,106,999999999
N174,Ola,S1,V1.0,2019,73340,,5.74,21.3,102,Electric,Yes,Automatic,No,,83,127,Commuter,China,2016,,Spoke,Oil,Drum,4.8,64,3.1,—,6600,—,-32,Single,—,—,—,—,—,5.%17,—,Automatic,-458,—,TW,,—,10/7:15,—,Yes,108.5,—
D175,Yamaha,FZ,V4.8,2018,271487,,3.81,13.72,107,Electric,Yes,Automatic,No,,83,118,Cruiser,India,2025,,Alloy,Liquid,Drum,4.35,81,3.1,—,6700,—,-54,Single,—,—,—,—,—,—,—,Automatic,-486.5,—,TW,—,,—,—,No,—,—
O176,Suzuki,Gixxer,V3.7,2020,118007,,7.09,20.92,88,Electric,Yes,Automatic,No,,134,95,Scooter,Austria,2018,,Spoke,Oil,Disc/Drum,1.74,172,3.9,—,6800,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,,3:05,,—,—,,100000009
N177,KTM,Duke,V5.7,2025,138785,532,14.39,15.11,123,Petrol,No,Manual,No,11.3,60,180,Scooter,Austria,2018,Euro5,Alloy,Liquid,Disc/Drum,,,,—,6900,—,,double,—,—,—,—,—,100.&19,—,Manual,—,—,—,5/4/2021,36:78/+113,30,—,Underseat compartment,—,
D178,Honda,Shine,V2.7,2021,215059,,4.59,11.14,70,Electric,Yes,Automatic,No,,126,118,Commuter,Japan,2018,,Spoke,Liquid,Disc,4.2,104,4.9,—,7000,—,-76,—,—,—,—,—,—,—,—,Manual,—,—,—,5/5/2021,15.25486111,51,—,Underseat compartment,111,999999999
O179,Honda,Shine,V1.5,2024,158671,315,43.23,30.62,84,Petrol,No,Manual,Yes,9.1,38,203,Commuter,Japan,2025,BS6,Spoke,Oil,Disc/Drum,,,,—,7100,—,-98,,—,—,—,—,—,16.6,—,Manual,—,—,—,5/6/2021,—,53,—,Yes,113.5,999999999
N180,Suzuki,Gixxer,V4.0,2024,74768,,6.16,21.15,107,Electric,Yes,Automatic,No,,164,99,Commuter,China,2017,,Alloy,Air,Drum,3.7,159,5.2,—,7200,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,—,5/7/2021,,—,—,No,116,999999999
D181,Hero,Splendor,V3.6,2023,70861,,6.46,28.14,85,Electric,Yes,Automatic,Yes,,81,125,Scooter,Austria,2021,,Spoke,Liquid,Disc/Drum,1.84,109,5.2,—,7300,—,,Single,—,—,—,—,—,5.%18,—,Manual,106,—,—,5/8/2021,4:05,10/7:16,—,—,118.5,—
O182,Bajaj,Pulsar,V3.1,2024,217853,,7.88,16.18,110,Electric,Yes,Automatic,No,,143,122,Cruiser,China,2017,,Spoke,Liquid,Disc/Drum,2.7,71,3.2,—,7400,—,-120,Double,—,—,—,—,—,—,—,Manual,—,—,—,5/9/2021,36:78/+114,—,—,Underseat compartment,—,—
N183,Honda,Shine,V2.8,2019,253538,114,34.76,28.17,130,Petrol,No,Manual,Yes,14.6,45,131,Cruiser,India,2018,BS6,Spoke,Liquid,Disc,,,,—,7500,—,-142,double,—,—,—,—,—,—,—,Manual,—,—,—,—,16.25486111,,—,Underseat compartment,,100000010
D184,Bajaj,Pulsar,V2.2,2022,216948,358,31.56,45,107,Petrol,No,Automatic,Yes,8.3,36,187,Adventure,India,2017,Euro5,Alloy,Liquid,Disc,,,,—,7600,—,—,—,—,—,—,—,—,100.&20,—,Manual,107,—,—,,—,31,—,Yes,—,
